,CID,HBondDonorCount,HBondAcceptorCount,MolecularWeight,XLogP,ConnectivitySMILES,SMILES,HitFreq,Include
7866,113204209,2,2,282.31,3.6,CC1=C(NC2=CC=CC=C12)C(=O)NCC3=CC=C(C=C3)F,CC1=C(NC2=CC=CC=C12)C(=O)NCC3=CC=C(C=C3)F,2,1
7867,113204217,2,2,296.3,4.1,CC1=C(NC2=CC=CC=C12)C(=O)NCCC3=CC=CC=C3F,CC1=C(NC2=CC=CC=C12)C(=O)NCCC3=CC=CC=C3F,2,1
7868,113204218,2,2,296.3,4.1,CC1=C(NC2=CC=CC=C12)C(=O)NCCC3=CC=C(C=C3)F,CC1=C(NC2=CC=CC=C12)C(=O)NCCC3=CC=C(C=C3)F,2,1
7869,113204224,1,3,337.4,3.9,CC1=C(NC2=CC=CC=C12)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F,CC1=C(NC2=CC=CC=C12)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F,5,1
7870,113204235,1,3,337.4,3.9,CC1=C(NC2=CC=CC=C12)C(=O)N3CCN(CC3)C4=CC=CC=C4F,CC1=C(NC2=CC=CC=C12)C(=O)N3CCN(CC3)C4=CC=CC=C4F,5,1
7871,113204518,1,2,260.31,3.2,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCCCC3,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCCCC3,2,1
7872,113204519,2,2,274.33,3.9,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NC3CCCCC3,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NC3CCCCC3,2,1
7873,113204520,1,2,274.33,3.6,CC1CCN(CC1)C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,CC1CCN(CC1)C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,2,1
7874,113204521,2,2,300.4,4.2,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCCC3=CCCCC3,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCCC3=CCCCC3,2,1
7875,113204529,1,3,275.32,2.1,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C,2,1
7876,113204530,1,3,289.35,2.5,CCN1CCN(CC1)C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,CCN1CCN(CC1)C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,2,1
7877,113204531,1,3,289.3,1.6,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C=O,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C=O,2,1
7878,113204532,1,3,303.33,1.6,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C(=O)C,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C(=O)C,5,1
7879,113204535,2,2,296.3,4.0,CC1=CC=CC=C1CNC(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,CC1=CC=CC=C1CNC(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,2,1
7880,113204536,2,2,296.3,4.0,CC1=CC(=CC=C1)CNC(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,CC1=CC(=CC=C1)CNC(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,5,1
7881,113204537,2,2,296.3,4.0,CC1=CC=C(C=C1)CNC(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,CC1=CC=C(C=C1)CNC(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,2,1
7882,113204539,1,2,296.3,3.8,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N(C)CC3=CC=CC=C3,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N(C)CC3=CC=CC=C3,2,1
7883,113204540,2,3,300.3,3.7,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCC3=CC=CC=C3F,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCC3=CC=CC=C3F,2,1
7884,113204541,2,3,300.3,3.7,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCC3=CC=C(C=C3)F,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCC3=CC=C(C=C3)F,2,1
7885,113204547,1,2,310.4,4.2,CCN(CC1=CC=CC=C1)C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,CCN(CC1=CC=CC=C1)C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,2,1
7886,113204551,2,2,296.3,4.1,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCCC3=CC=CC=C3,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCCC3=CC=CC=C3,2,1
7887,113204552,1,2,308.3,3.8,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCC4=CC=CC=C4C3,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCC4=CC=CC=C4C3,5,1
7888,113204553,2,3,314.3,4.2,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCCC3=CC=CC=C3F,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCCC3=CC=CC=C3F,3,1
7889,113204554,2,3,314.3,4.2,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCCC3=CC=C(C=C3)F,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCCC3=CC=C(C=C3)F,3,1
7890,113204561,1,3,351.4,3.6,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)CC4=CC=CC=C4,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)CC4=CC=CC=C4,5,1
7891,113204562,1,3,337.4,3.9,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C4=CC=CC=C4,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C4=CC=CC=C4,5,1
7892,113204563,1,4,355.4,4.0,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F,5,1
7893,113204574,1,3,351.4,4.3,CC1=CC(=CC=C1)N2CCN(CC2)C(=O)C3=C(C4=C(N3)C=CC(=C4)F)C,CC1=CC(=CC=C1)N2CCN(CC2)C(=O)C3=C(C4=C(N3)C=CC(=C4)F)C,5,1
7894,113204577,1,4,355.4,4.0,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C4=CC=CC=C4F,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C4=CC=CC=C4F,5,1
7895,113204578,1,3,377.5,4.3,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)CC=CC4=CC=CC=C4,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C/C=C/C4=CC=CC=C4,5,1
7896,113204583,2,2,310.4,4.4,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCCCC3=CC=CC=C3,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NCCCC3=CC=CC=C3,2,1
7897,113204588,1,2,324.4,4.6,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N(CC3=CC=CC=C3)C(C)C,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N(CC3=CC=CC=C3)C(C)C,5,1
7898,113204592,1,2,288.36,4.1,CCC1CCCCN1C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,CCC1CCCCN1C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,5,1
7899,113204593,1,2,274.33,3.6,CC1CCCN(C1)C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,CC1CCCN(C1)C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,2,1
7900,113204601,1,2,282.31,3.9,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N(C)C3=CC=CC=C3,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N(C)C3=CC=CC=C3,2,1
7901,113204603,1,2,308.3,4.3,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCCC4=CC=CC=C43,CC1=C(NC2=C1C=C(C=C2)F)C(=O)N3CCCC4=CC=CC=C43,6,1
7902,113204612,1,2,296.3,4.2,CCN(C1=CC=CC=C1)C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,CCN(C1=CC=CC=C1)C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,2,1
7903,113204647,2,3,351.4,4.7,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NC3=CC=C(C=C3)N4CCCCC4,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NC3=CC=C(C=C3)N4CCCCC4,2,1
7904,113204649,2,4,366.4,3.6,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NC3=CC=C(C=C3)N4CCN(CC4)C,CC1=C(NC2=C1C=C(C=C2)F)C(=O)NC3=CC=C(C=C3)N4CCN(CC4)C,2,1
7905,113204659,1,2,308.3,4.3,CC1CC2=CC=CC=C2N1C(=O)C3=C(C4=C(N3)C=CC(=C4)F)C,CC1CC2=CC=CC=C2N1C(=O)C3=C(C4=C(N3)C=CC(=C4)F)C,2,1
7906,113204665,1,2,310.4,4.6,CCN(C1=CC=CC(=C1)C)C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,CCN(C1=CC=CC(=C1)C)C(=O)C2=C(C3=C(N2)C=CC(=C3)F)C,2,1
7907,113204998,1,3,351.4,4.3,CC1=CC2=C(C=C1)C(=C(N2)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F)C,CC1=CC2=C(C=C1)C(=C(N2)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F)C,2,1
7908,113205010,1,3,351.4,4.3,CC1=CC2=C(C=C1)C(=C(N2)C(=O)N3CCN(CC3)C4=CC=CC=C4F)C,CC1=CC2=C(C=C1)C(=C(N2)C(=O)N3CCN(CC3)C4=CC=CC=C4F)C,2,1
7909,113205096,1,2,260.31,3.2,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCCCC3,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCCCC3,2,1
7910,113205097,2,2,274.33,3.9,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NC3CCCCC3,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NC3CCCCC3,2,1
7911,113205098,1,2,274.33,3.6,CC1CCN(CC1)C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,CC1CCN(CC1)C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,2,1
7912,113205099,2,2,300.4,4.2,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCCC3=CCCCC3,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCCC3=CCCCC3,2,1
7913,113205107,1,3,275.32,2.1,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C,2,1
7914,113205108,1,3,289.35,2.5,CCN1CCN(CC1)C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,CCN1CCN(CC1)C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,2,1
7915,113205109,1,3,289.3,1.6,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C=O,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C=O,2,1
7916,113205110,1,3,303.33,1.6,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C(=O)C,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C(=O)C,5,1
7917,113205112,2,2,282.31,3.6,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCC3=CC=CC=C3,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCC3=CC=CC=C3,2,1
7918,113205113,2,2,296.3,4.0,CC1=CC=CC=C1CNC(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,CC1=CC=CC=C1CNC(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,2,1
7919,113205114,2,2,296.3,4.0,CC1=CC(=CC=C1)CNC(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,CC1=CC(=CC=C1)CNC(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,5,1
7920,113205115,2,2,296.3,4.0,CC1=CC=C(C=C1)CNC(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,CC1=CC=C(C=C1)CNC(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,2,1
7921,113205116,2,2,296.3,4.0,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NC(C)C3=CC=CC=C3,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NC(C)C3=CC=CC=C3,5,1
7922,113205117,1,2,296.3,3.8,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N(C)CC3=CC=CC=C3,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N(C)CC3=CC=CC=C3,2,1
7923,113205118,2,3,300.3,3.7,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCC3=CC=CC=C3F,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCC3=CC=CC=C3F,2,1
7924,113205119,2,3,300.3,3.7,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCC3=CC=C(C=C3)F,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCC3=CC=C(C=C3)F,2,1
7925,113205125,1,2,310.4,4.2,CCN(CC1=CC=CC=C1)C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,CCN(CC1=CC=CC=C1)C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,2,1
7926,113205129,2,2,296.3,4.1,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCCC3=CC=CC=C3,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCCC3=CC=CC=C3,2,1
7927,113205130,1,2,308.3,3.8,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCC4=CC=CC=C4C3,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCC4=CC=CC=C4C3,5,1
7928,113205131,2,3,314.3,4.2,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCCC3=CC=CC=C3F,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCCC3=CC=CC=C3F,3,1
7929,113205139,1,3,351.4,3.6,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)CC4=CC=CC=C4,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)CC4=CC=CC=C4,5,1
7930,113205140,1,3,337.4,3.9,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C4=CC=CC=C4,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C4=CC=CC=C4,5,1
7931,113205141,1,4,355.4,4.0,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F,5,1
7932,113205152,1,3,351.4,4.3,CC1=CC(=CC=C1)N2CCN(CC2)C(=O)C3=C(C4=C(N3)C=C(C=C4)F)C,CC1=CC(=CC=C1)N2CCN(CC2)C(=O)C3=C(C4=C(N3)C=C(C=C4)F)C,5,1
7933,113205155,1,4,355.4,4.0,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C4=CC=CC=C4F,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C4=CC=CC=C4F,5,1
7934,113205156,1,3,377.5,4.3,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)CC=CC4=CC=CC=C4,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCN(CC3)C/C=C/C4=CC=CC=C4,5,1
7935,113205161,2,2,310.4,4.4,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCCCC3=CC=CC=C3,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NCCCC3=CC=CC=C3,2,1
7936,113205166,1,2,324.4,4.6,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N(CC3=CC=CC=C3)C(C)C,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N(CC3=CC=CC=C3)C(C)C,5,1
7937,113205170,1,2,288.36,4.1,CCC1CCCCN1C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,CCC1CCCCN1C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,5,1
7938,113205171,1,2,274.33,3.6,CC1CCCN(C1)C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,CC1CCCN(C1)C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,2,1
7939,113205180,1,2,282.31,3.9,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N(C)C3=CC=CC=C3,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N(C)C3=CC=CC=C3,2,1
7940,113205182,1,2,308.3,4.3,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCCC4=CC=CC=C43,CC1=C(NC2=C1C=CC(=C2)F)C(=O)N3CCCC4=CC=CC=C43,6,1
7941,113205191,1,2,296.3,4.2,CCN(C1=CC=CC=C1)C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,CCN(C1=CC=CC=C1)C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,2,1
7942,113205226,2,3,351.4,4.7,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NC3=CC=C(C=C3)N4CCCCC4,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NC3=CC=C(C=C3)N4CCCCC4,2,1
7943,113205228,2,4,366.4,3.6,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NC3=CC=C(C=C3)N4CCN(CC4)C,CC1=C(NC2=C1C=CC(=C2)F)C(=O)NC3=CC=C(C=C3)N4CCN(CC4)C,2,1
7944,113205238,1,2,308.3,4.3,CC1CC2=CC=CC=C2N1C(=O)C3=C(C4=C(N3)C=C(C=C4)F)C,CC1CC2=CC=CC=C2N1C(=O)C3=C(C4=C(N3)C=C(C=C4)F)C,2,1
7945,113205244,1,2,310.4,4.6,CCN(C1=CC=CC(=C1)C)C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,CCN(C1=CC=CC(=C1)C)C(=O)C2=C(C3=C(N2)C=C(C=C3)F)C,2,1
7946,113207072,1,2,296.3,3.8,CN1C2=CC=CC=C2C=C1C(=O)NCCC3=CC=CC=C3F,CN1C2=CC=CC=C2C=C1C(=O)NCCC3=CC=CC=C3F,2,1
7947,113207119,1,3,337.4,3.9,CC1=CC2=C(C=C1)NC(=C2)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F,CC1=CC2=C(C=C1)NC(=C2)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F,6,1
7948,113207157,1,3,363.4,3.9,C1CN(CCN1CC=CC2=CC=CC=C2)C(=O)C3=CC4=C(N3)C=CC(=C4)F,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(=O)C3=CC4=C(N3)C=CC(=C4)F,5,1
7949,113207159,1,2,274.33,3.7,CCC1CCCCN1C(=O)C2=CC3=C(N2)C=CC(=C3)F,CCC1CCCCN1C(=O)C2=CC3=C(N2)C=CC(=C3)F,5,1
7950,113207175,2,3,351.4,4.7,CC1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)F,CC1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)F,2,1
7951,113207176,2,4,352.4,3.3,CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)F,CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)F,2,1
7952,113207184,1,2,294.3,4.0,CC1CC2=CC=CC=C2N1C(=O)C3=CC4=C(N3)C=CC(=C4)F,CC1CC2=CC=CC=C2N1C(=O)C3=CC4=C(N3)C=CC(=C4)F,2,1
7953,113207193,2,3,339.4,4.5,CCN(CC)C1=CC(=C(C=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)F)C,CCN(CC)C1=CC(=C(C=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)F)C,2,1
7954,113207195,1,2,296.3,4.2,CCN(C1=CC=CC(=C1)C)C(=O)C2=CC3=C(N2)C=CC(=C3)F,CCN(C1=CC=CC(=C1)C)C(=O)C2=CC3=C(N2)C=CC(=C3)F,2,1
7955,113207305,2,2,296.3,4.1,CC1=CC2=C(C=C1)C=C(N2)C(=O)NCCC3=CC=CC=C3F,CC1=CC2=C(C=C1)C=C(N2)C(=O)NCCC3=CC=CC=C3F,2,1
7956,113207306,2,2,296.3,4.1,CC1=CC2=C(C=C1)C=C(N2)C(=O)NCCC3=CC=C(C=C3)F,CC1=CC2=C(C=C1)C=C(N2)C(=O)NCCC3=CC=C(C=C3)F,2,1
7957,113207311,1,3,337.4,3.9,CC1=CC2=C(C=C1)C=C(N2)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F,CC1=CC2=C(C=C1)C=C(N2)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F,5,1
7958,113207321,1,3,337.4,3.9,CC1=CC2=C(C=C1)C=C(N2)C(=O)N3CCN(CC3)C4=CC=CC=C4F,CC1=CC2=C(C=C1)C=C(N2)C(=O)N3CCN(CC3)C4=CC=CC=C4F,5,1
7959,113207406,2,2,286.34,3.8,C1CCC(=CC1)CCNC(=O)C2=CC3=C(N2)C=C(C=C3)F,C1CCC(=CC1)CCNC(=O)C2=CC3=C(N2)C=C(C=C3)F,2,1
7960,113207408,2,2,282.31,3.6,CC1=CC=CC=C1CNC(=O)C2=CC3=C(N2)C=C(C=C3)F,CC1=CC=CC=C1CNC(=O)C2=CC3=C(N2)C=C(C=C3)F,2,1
7961,113207409,2,2,282.31,3.6,CC1=CC(=CC=C1)CNC(=O)C2=CC3=C(N2)C=C(C=C3)F,CC1=CC(=CC=C1)CNC(=O)C2=CC3=C(N2)C=C(C=C3)F,5,1
7962,113207410,2,2,282.31,3.6,CC1=CC=C(C=C1)CNC(=O)C2=CC3=C(N2)C=C(C=C3)F,CC1=CC=C(C=C1)CNC(=O)C2=CC3=C(N2)C=C(C=C3)F,2,1
7963,113207412,1,2,282.31,3.4,CN(CC1=CC=CC=C1)C(=O)C2=CC3=C(N2)C=C(C=C3)F,CN(CC1=CC=CC=C1)C(=O)C2=CC3=C(N2)C=C(C=C3)F,2,1
7964,113207413,2,3,286.28,3.4,C1=CC=C(C(=C1)CNC(=O)C2=CC3=C(N2)C=C(C=C3)F)F,C1=CC=C(C(=C1)CNC(=O)C2=CC3=C(N2)C=C(C=C3)F)F,2,1
7965,113207414,2,3,286.28,3.4,C1=CC(=CC=C1CNC(=O)C2=CC3=C(N2)C=C(C=C3)F)F,C1=CC(=CC=C1CNC(=O)C2=CC3=C(N2)C=C(C=C3)F)F,2,1
7966,113207417,1,2,296.3,3.8,CCN(CC1=CC=CC=C1)C(=O)C2=CC3=C(N2)C=C(C=C3)F,CCN(CC1=CC=CC=C1)C(=O)C2=CC3=C(N2)C=C(C=C3)F,5,1
7967,113207418,2,2,282.31,3.7,C1=CC=C(C=C1)CCNC(=O)C2=CC3=C(N2)C=C(C=C3)F,C1=CC=C(C=C1)CCNC(=O)C2=CC3=C(N2)C=C(C=C3)F,2,1
7968,113207419,1,2,294.3,3.5,C1CN(CC2=CC=CC=C21)C(=O)C3=CC4=C(N3)C=C(C=C4)F,C1CN(CC2=CC=CC=C21)C(=O)C3=CC4=C(N3)C=C(C=C4)F,5,1
7969,113207420,2,3,300.3,3.8,C1=CC=C(C(=C1)CCNC(=O)C2=CC3=C(N2)C=C(C=C3)F)F,C1=CC=C(C(=C1)CCNC(=O)C2=CC3=C(N2)C=C(C=C3)F)F,2,1
7970,113207421,2,3,300.3,3.8,C1=CC(=CC=C1CCNC(=O)C2=CC3=C(N2)C=C(C=C3)F)F,C1=CC(=CC=C1CCNC(=O)C2=CC3=C(N2)C=C(C=C3)F)F,2,1
7971,113207425,1,3,337.4,3.2,C1CN(CCN1CC2=CC=CC=C2)C(=O)C3=CC4=C(N3)C=C(C=C4)F,C1CN(CCN1CC2=CC=CC=C2)C(=O)C3=CC4=C(N3)C=C(C=C4)F,5,1
7972,113207426,1,3,323.4,3.5,C1CN(CCN1C2=CC=CC=C2)C(=O)C3=CC4=C(N3)C=C(C=C4)F,C1CN(CCN1C2=CC=CC=C2)C(=O)C3=CC4=C(N3)C=C(C=C4)F,5,1
7973,113207427,1,4,341.4,3.6,C1CN(CCN1C2=CC=C(C=C2)F)C(=O)C3=CC4=C(N3)C=C(C=C4)F,C1CN(CCN1C2=CC=C(C=C2)F)C(=O)C3=CC4=C(N3)C=C(C=C4)F,5,1
7974,113207434,1,3,337.4,3.9,CC1=CC(=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=C(C=C4)F,CC1=CC(=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=C(C=C4)F,5,1
7975,113207436,1,3,351.4,4.3,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=C(C=C4)F)C,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=C(C=C4)F)C,2,1
7976,113207438,1,4,341.4,3.6,C1CN(CCN1C2=CC=CC=C2F)C(=O)C3=CC4=C(N3)C=C(C=C4)F,C1CN(CCN1C2=CC=CC=C2F)C(=O)C3=CC4=C(N3)C=C(C=C4)F,5,1
7977,113207439,1,3,363.4,3.9,C1CN(CCN1CC=CC2=CC=CC=C2)C(=O)C3=CC4=C(N3)C=C(C=C4)F,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(=O)C3=CC4=C(N3)C=C(C=C4)F,5,1
7978,113207440,2,2,296.3,4.1,C1=CC=C(C=C1)CCCNC(=O)C2=CC3=C(N2)C=C(C=C3)F,C1=CC=C(C=C1)CCCNC(=O)C2=CC3=C(N2)C=C(C=C3)F,2,1
7979,113207443,1,2,310.4,4.2,CC(C)N(CC1=CC=CC=C1)C(=O)C2=CC3=C(N2)C=C(C=C3)F,CC(C)N(CC1=CC=CC=C1)C(=O)C2=CC3=C(N2)C=C(C=C3)F,5,1
7980,113207444,2,2,248.3,3.6,CCCCCNC(=O)C1=CC2=C(N1)C=C(C=C2)F,CCCCCNC(=O)C1=CC2=C(N1)C=C(C=C2)F,2,1
7981,113207445,1,2,336.4,4.6,C1CN(CCC1CC2=CC=CC=C2)C(=O)C3=CC4=C(N3)C=C(C=C4)F,C1CN(CCC1CC2=CC=CC=C2)C(=O)C3=CC4=C(N3)C=C(C=C4)F,5,1
7982,113207446,1,2,274.33,3.7,CCC1CCCCN1C(=O)C2=CC3=C(N2)C=C(C=C3)F,CCC1CCCCN1C(=O)C2=CC3=C(N2)C=C(C=C3)F,5,1
7983,113207447,1,2,262.32,3.7,CCCN(CCC)C(=O)C1=CC2=C(N1)C=C(C=C2)F,CCCN(CCC)C(=O)C1=CC2=C(N1)C=C(C=C2)F,2,1
7984,113207458,1,2,282.31,3.9,CCN(C1=CC=CC=C1)C(=O)C2=CC3=C(N2)C=C(C=C3)F,CCN(C1=CC=CC=C1)C(=O)C2=CC3=C(N2)C=C(C=C3)F,2,1
7985,113207486,2,3,297.33,3.4,CN(C)C1=CC=C(C=C1)NC(=O)C2=CC3=C(N2)C=C(C=C3)F,CN(C)C1=CC=C(C=C1)NC(=O)C2=CC3=C(N2)C=C(C=C3)F,2,1
