PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0004332835 uM,W460-Activity at 0.00130 uM,W460-Activity at 0.00388 uM,W460-Activity at 0.00491 uM,W460-Activity at 0.012 uM,W460-Activity at 0.035 uM,W460-Activity at 0.057 uM,W460-Activity at 0.105 uM,W460-Activity at 0.315 uM,W460-Activity at 0.650 uM,W460-Activity at 0.956 uM,W460-Activity at 2.842 uM,W460-Activity at 4.858 uM,W460-Activity at 8.495 uM,W460-Activity at 25.28 uM,W460-Activity at 36.32 uM,W460-Activity at 76.68 uM,W460-Activity at 182.0 uM,W460-Activity at 407.0 uM,W460-Activity at 910.0 uM,W460-Activity at 2034.7 uM,W460-Activity at 4832.4 uM,W460-Activity at 10805.3 uM,W460-Activity at 24160.5 uM,W460-Activity at 54023.0 uM,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0004332835 uM,Ratio-Activity at 0.00130 uM,Ratio-Activity at 0.00388 uM,Ratio-Activity at 0.00490 uM,Ratio-Activity at 0.012 uM,Ratio-Activity at 0.035 uM,Ratio-Activity at 0.057 uM,Ratio-Activity at 0.105 uM,Ratio-Activity at 0.315 uM,Ratio-Activity at 0.650 uM,Ratio-Activity at 0.956 uM,Ratio-Activity at 2.842 uM,Ratio-Activity at 4.857 uM,Ratio-Activity at 8.495 uM,Ratio-Activity at 25.28 uM,Ratio-Activity at 36.32 uM,Ratio-Activity at 76.68 uM,Ratio-Activity at 182.0 uM,Ratio-Activity at 406.9 uM,Ratio-Activity at 909.9 uM,Ratio-Activity at 2034.6 uM,Ratio-Activity at 4832.0 uM,Ratio-Activity at 10804.6 uM,Ratio-Activity at 24159.8 uM,Ratio-Activity at 54023.0 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0004332835 uM,W530-Activity at 0.00130 uM,W530-Activity at 0.00388 uM,W530-Activity at 0.00490 uM,W530-Activity at 0.012 uM,W530-Activity at 0.035 uM,W530-Activity at 0.057 uM,W530-Activity at 0.105 uM,W530-Activity at 0.315 uM,W530-Activity at 0.650 uM,W530-Activity at 0.956 uM,W530-Activity at 2.842 uM,W530-Activity at 4.857 uM,W530-Activity at 8.495 uM,W530-Activity at 25.28 uM,W530-Activity at 36.32 uM,W530-Activity at 76.68 uM,W530-Activity at 182.0 uM,W530-Activity at 406.9 uM,W530-Activity at 909.9 uM,W530-Activity at 2034.6 uM,W530-Activity at 4832.0 uM,W530-Activity at 10804.6 uM,W530-Activity at 24159.8 uM,W530-Activity at 54023.0 uM,Compound QC
1295,17389384,7250,CC1=CC(=C(C=C1)N)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08582987-01/21169428,,Inactive,,,,,,,,,,4,,12.0734,3.7713,,8.375,,19.5326,54.0891,20.3146,1.7101,22.8157,6.784,14.0437,,10.4269,11.9015,21.0194,20.5697,12.0734,,,,,,,,,,,,,,,4,,2.7036,17.2179,,-4.0237,,9.783,-9.9802,-3.4194,2.7426,2.336,6.722,-0.8112,,15.518,2.3259,-4.958,8.0695,2.7036,,,,,,,,,,,,,,,4,,2.7953,-9.5681,,4.6583,,1.5749,35.1345,12.1202,-1.8782,9.1228,-2.5287,6.7318,,-6.4796,2.9636,13.5593,1.4837,2.7953,,,,,,,,,QC'd by NIEHS/NTP
1296,17389386,12262,CC(CC(C)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07944125-01/21169324,,Inactive,,,,,,,,,,4,,5.6419,21.11,,53.9176,,15.2579,-2.5688,32.9208,7.2057,20.3765,8.3131,-4.2986,,14.9406,46.6817,10.9947,35.7259,5.6419,,,,,,,,,,,,,,,4,,-2.0666,19.7286,,7.3152,,5.6022,2.3036,4.4749,1.4332,9.8706,13.2678,3.7668,,5.8513,6.5628,4.8452,6.9826,-2.0666,,,,,,,,,,,,,,,4,,5.5795,-0.3603,,20.2528,,4.0468,-2.3617,16.2639,4.3547,5.341,-3.1963,-4.1022,,4.9342,22.5296,3.8015,12.9036,5.5795,,,,,,,,,QC'd by NIEHS/NTP
1297,17389388,10226,C1=CC2=C(C=C1S(=O)(=O)O)C(=C(C=C2[N+](=O)[O-])[N+](=O)[O-])O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08082725-01/21170682,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 1 0,3.6803,-28.9756,,-11.6478,,-8.6676,1.4535,0.2975,-30.1559,-20.3178,-15.1926,-19.61,,6.4662,19.7465,9.4501,-17.7835,3.6803,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 1 0 0 0 0 0,8.7931,-7.4732,,-16.3342,,-18.2539,-8.311,-15.5313,-20.3633,-10.4953,-10.9172,18.3794,,-9.1564,9.0449,-6.8247,-11.2173,8.7931,,,,,,,,,,,,,,,4,,-4.8852,-11.4637,,1.571,,5.3839,4.3275,10.4159,-3.3891,-5.4437,-1.602,-21.063,,8.8301,3.0656,9.1834,-5.925,-4.8852,,,,,,,,,QC'd by NIEHS/NTP
1298,17389389,1491,C1=CC(=C(C=C1O)O)C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07995053-01/21170718,,Inactive,,,,,,,,,,4,,-10.2299,-1.9416,,-23.1284,,-3.5941,52.1963,-24.641,17.3908,-50.1971,-8.6122,-27.1352,,-24.3121,2.6915,6.2718,-12.6492,-10.2299,,,,,,,,,,,,,,,4,,23.9327,10.4227,,9.0963,,7.077,-22.5443,-4.0634,-7.5351,10.3251,-5.3986,-1.6131,,10.5324,6.4362,-5.1636,4.54,23.9327,,,,,,,,,,,,,,,4,,-16.813,-5.2486,,-13.7826,,-5.1464,48.652,-9.589,16.6805,-31.1438,0.4372,-12.7305,,-18.3145,-1.0366,8.5993,-10.2592,-16.813,,,,,,,,,QC'd by NIEHS/NTP
1299,17389390,67967,C1=CC(=C(C=C1F)F)[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07944109-01/21169998,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 0 0 0,-36.7821,-6.4295,,57.0889,,21.2176,-19.6945,-15.7185,2.0308,-2.4527,-7.6467,-9.8751,,-0.9473,7.0575,-24.835,-25.0343,-36.7821,,,,,,,,,,,,,,,4,,0.2768,-7.7394,,4.6041,,-3.2784,-15.3292,-9.8736,-9.6779,-1.6002,-4.284,-1.421,,-2.8292,6.9901,-4.0762,-14.5228,0.2768,,,,,,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 0 0 0,-16.2557,6.0569,,23.4958,,15.1991,3.3761,2.486,12.0481,3.908,3.2394,0.0299,,5.34,2.9194,-7.1666,-2.2896,-16.2557,,,,,,,,,QC'd by NIEHS/NTP
1300,17389391,9709,C1=CC(=C(C=C1F)F)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08082691-01/21169504,,Inactive,,,,,,,,,,4,,8.393,11.6659,,71.0492,,15.9987,29.9405,36.8399,8.9043,3.108,-27.4961,-0.6538,,9.6531,8.2678,28.5307,12.3501,8.393,,,,,,,,,,,,,,,4,,3,-4.539,,1.8,,-10.1152,-6.8261,-1.0863,1.728,2.5108,-6.2881,-4.4704,,-7.2639,2.1888,-0.6058,-0.7563,3,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 1 0 0 0 0 0 0,-8.2187,-1.1986,,18.6769,,3.0954,8.6357,9.8439,-6.2997,-10.681,-22.0157,-7.9977,,-0.9817,-7.8149,5.5766,-6.5412,-8.2187,,,,,,,,,QC'd by NIEHS/NTP
1301,17389392,11899,C1=CC(=C(C=C1Cl)Cl)[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07981402-01/21170461,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,-18.6675,-12.2221,,-8.3738,,-16.1524,-3.5938,-26.9436,-28.495,-23.3326,-21.2299,-5.4967,,-19.7827,-0.8338,-1.7178,20.8811,-18.6675,,,,,,,,,,,,,,,4,,17.5652,14.2763,,6.6198,,6.4696,9.2227,7.4658,5.8244,8.1852,19.0876,7.3543,,3.9087,22.0128,1.1511,7.8513,17.5652,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 1 0 0 0 0 0 1,-23.0854,-16.9439,,-10.0978,,-14.9103,-9.1012,-21.852,-20.2039,-20.6672,-25.4707,-9.0133,,-16.3721,-16.0971,-2.6171,3.2476,-23.0854,,,,,,,,,QC'd by NIEHS/NTP
1302,17389393,5787,C1=CC(=C(C=C1Cl)Cl)C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07981028-01/21170549,,Inactive,,,,,,,,,,4,,35.074,2.7902,,66.9499,,53.2618,65.1297,28.6961,-2.5786,13.3064,-1.7052,47.0807,,23.6315,81.0982,52.2433,62.517,35.074,,,,,,,,,,,,,,,4,,-8.7273,5.0112,,-24.4,,-23.9851,-25.029,-7.6403,-14.8966,-2.2446,-16.1356,-12.1812,,6.9306,-9.3986,-9.8248,-1.9068,-8.7273,,,,,,,,,,,,,,,4,,17.3395,-8.3536,,42.2773,,37.7793,46.9007,12.8807,0.8014,0.5474,1.1635,27.813,,0.1908,44.2186,28.7913,24.0751,17.3395,,,,,,,,,QC'd by NIEHS/NTP
1303,17389394,11123,C1=CC(=C(C=C1Cl)Cl)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07990321-01/21169382,,Inactive,,,,,,,,,,4,,12.8799,-4.4443,,-8.2919,,9.3149,-13.8544,-26.8539,-14.392,18.7984,-0.1668,-9.4965,,-16.2034,-6.6066,7.3425,-0.1468,12.8799,,,,,,,,,,,,,,,4,,-5.0909,-4.5502,,-6.4,,-3.0632,7.9855,8.6763,-2.8966,-3.9137,-6.5085,-1.5749,,5.7361,7.8462,8.0146,5.0753,-5.0909,,,,,,,,,,,,,,,4,,9.6371,-0.8735,,-2.2118,,4.4378,-13.7172,-21.9978,-7.1316,12.0775,3.2455,-6.3476,,-15.621,-10.8053,-3.2722,-7.8237,9.6371,,,,,,,,,QC'd by NIEHS/NTP
1304,17389395,5283349,CCCCC/C=C/C=C/C=O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB02509332-01/21170458,,Inactive,,,,,,,,,,4,1 0 0 1 0 0 0 0 1 0 0 0 1 1,30.0582,-4.2359,,56.269,,59.4121,-21.8498,12.8035,36.2508,-25.1524,13.7125,-45.8453,,-23.6036,-1.3042,-22.1742,19.9032,30.0582,,,,,,,,,,,,,,,4,,6.7654,-3.0933,,-6.8346,,-6.0673,-7.0317,-9.1482,-7.3648,-4.8317,-5.6413,-6.1126,,9.8765,-5.78,-2.6944,-1.593,6.7654,,,,,,,,,,,,,,,4,0 0 0 1 0 0 0 1 0 0 0 0 0 1,6.5597,-4.8947,,25.0039,,29.8898,-12.3371,9.398,20.7309,-16.4629,7.6643,-28.0344,,-24.8831,-1.828,-16.4478,4.3627,6.5597,,,,,,,,,QC'd by NIEHS/NTP
1305,17389396,61286,CCCCC(CC)COC(=O)COC1=C(C=C(C=C1)Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07944775-01/21169337,,Inactive,,,,,,,,,,4,1 0 0 1 0 0 0 0 0 0 0 0 0 0,18.8016,39.3664,,96.4915,,85.7861,93.5283,30.3625,24.9841,52.9648,21.8879,29.4441,,48.6996,22.4724,5.8718,31.7757,18.8016,,,,,,,,,,,,,,,4,,-2.6719,-11.5844,,-19.3628,,-13.4431,-12.8788,-3.5758,-6.3529,-9.3312,-9.5934,-13.1426,,-10.0406,2.2651,6.8795,-17.2539,-2.6719,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 0 0,7.0005,23.2938,,53.1057,,46.3947,50.4515,13.7759,13.8025,28.7545,12.4844,18.8246,,26.5795,6.2633,-4.6264,20.0026,7.0005,,,,,,,,,QC'd by NIEHS/NTP
1306,17389397,16180,CNC.C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08582946-01/21170073,,Inactive,,,,,,,,,,4,,6.7341,11.575,,36.5357,,10.2572,-2.1313,21.6263,-3.081,24.3616,-4.5707,14.3905,,12.1524,58.5911,19.3256,14.5451,6.7341,,,,,,,,,,,,,,,4,,-24.8829,-8.4936,,-15.1374,,-17.4155,-29.5983,-13.7475,-17.9083,-22.3806,-17.1849,-15.8845,,-12.4486,-14.799,-20.863,-9.85,-24.8829,,,,,,,,,,,,,,,4,,13.739,7.7256,,22.095,,11.01,12.6192,15.5133,6.2799,21.908,3.1838,12.7157,,8.9,35.3844,18.0146,6.9901,13.739,,,,,,,,,QC'd by NIEHS/NTP
1307,17389398,25607,C1=CC(=C(C=C1Cl)Cl)C(Cl)(Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08582921-01/21169956,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 0 0 0 0 1 0 0 1,47.7912,29.9023,,34.0685,,26.3874,46.9353,23.2855,13.3642,10.9636,3.9428,-2.6455,,18.1384,39.3827,-1.9918,7.9953,47.7912,,,,,,,,,,,,,,,4,,16.4743,-1.1005,,34.547,,4.4757,32.3123,-2.181,14.567,-4.699,15.5436,5.5171,,4.7609,7.3275,16.9441,1.7255,16.4743,,,,,,,,,,,,,,,4,,9.4065,4.0354,,-11.1641,,-0.9112,-19.3008,-16.5451,-8.2919,-1.1402,-14.2581,-12.5335,,-1.5519,-10.0001,-16.2661,-5.0029,9.4065,,,,,,,,,QC'd by NIEHS/NTP
1308,17389399,29228,C1=C(C=C(C(=C1Cl)[N+](=O)[O-])Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07930265-01/21169326,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 1 0 0 0 0 0 1,-3.9339,-31.167,,7.413,,-5.7344,-11.9876,9.0415,8.304,-2.7787,21.0991,0.2634,,-12.0021,-6.7002,3.1559,16.2043,-3.9339,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 1 1 0 0 0 0 1,3.0722,-6.2539,,-7.0733,,-5.5104,-0.5457,2.7282,-3.5192,2.0088,14.0183,-1.745,,11.124,2.7785,18.3954,7.0357,3.0722,,,,,,,,,,,,,,,4,,-6.2016,-15.1445,,5.3265,,-2.1028,-7.9681,1.7125,5.8191,-4.8954,0.721,0.0857,,-16.4302,-7.6766,-12.0208,-0.3377,-6.2016,,,,,,,,,QC'd by NIEHS/NTP
1309,17389400,113124,CCOC1=CC(=C(C=C1C(=O)C)OCC)OCC,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08582938-01/21170409,,Inactive,,,,,,,,,,4,,32.8285,-1.9029,,8.0068,,19.4653,7.1635,11.2545,57.5243,-3.6644,-6.6718,-7.4081,,30.416,12.8163,7.2469,17.8986,32.8285,,,,,,,,,,,,,,,4,0 0 0 1 0 0 0 1 0 0 0 0 0 1,-7.7232,-5.5089,,-2.5959,,-0.6762,9.6708,0.1984,-11.9767,-13.8304,-17.5044,16.3491,,-0.0514,9.7873,13.0771,-3.0532,-7.7232,,,,,,,,,,,,,,,4,0 0 0 0 0 1 0 0 0 0 0 0 0 0,18.8385,-1.6173,,1.7886,,5.8504,-5.2145,1.7254,35.7659,1.5181,2.8966,-16.5781,,11.7333,-3.1361,-8.0499,4.7419,18.8385,,,,,,,,,QC'd by NIEHS/NTP
1310,17389401,7271,C1=C(C(=CC(=C1Cl)Cl)Cl)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07980940-01/21170535,,Inactive,,,,,,,,,,4,,54.9745,3.8021,,63.3133,,51.8576,-19.587,2.0533,3.1597,24.3866,16.7528,36.5491,,28.3471,10.6003,32.7241,44.9552,54.9745,,,,,,,,,,,,,,,4,,5.3182,5.5372,,-4.9,,-19.3699,8.5435,4.4928,-2.2011,-7.7374,-5.5169,-7.2875,,-13.875,-2.7517,-1.2153,-5.2168,5.3182,,,,,,,,,,,,,,,4,,16.0686,-10.7462,,22.429,,32.4154,-23.9638,-11.2387,-5.6541,9.4603,4.1201,17.2619,,17.5811,-2.0166,9.9243,15.8876,16.0686,,,,,,,,,QC'd by NIEHS/NTP
1311,17389402,6983,C1=C(C(=CC(=C1Cl)Cl)Cl)[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07930302-01/21169585,,Inactive,,,,,,,,,,4,,6.2306,2.8491,,13.1209,,-14.0848,13.4807,18.3593,15.4501,5.0911,14.1708,-1.0653,,-3.7456,5.4313,12.7821,6.8514,6.2306,,,,,,,,,,,,,,,4,,5.0593,15.3871,,11.0957,,-2.085,8.3333,12.6525,16.3585,10.4942,10.3906,9.0441,,4.1818,10.0943,14.9,11.9215,5.0593,,,,,,,,,,,,,,,4,,10.3193,1.762,,7.9565,,2.7485,11.2513,11.8845,8.1607,5.5655,11.4787,3.5534,,4.517,6.0873,7.0747,3.0414,10.3193,,,,,,,,,QC'd by NIEHS/NTP
1312,17389403,21058,CC(C)COC(=O)COC1=CC(=C(C=C1Cl)Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07930242-01/21170677,,Inactive,,,,,,,,,,4,,20.0413,4.9488,,54.0941,,78.1665,58.0572,9.5605,35.5755,1.8934,13.3325,3.5334,,29.4679,37.9152,21.2213,-16.0294,20.0413,,,,,,,,,,,,,,,4,0 0 0 1 0 0 0 0 1 0 0 0 0 0,14.2492,4.0755,,-7.0963,,-0.7573,9.5008,6.2217,-6.6411,-0.6128,-2.059,-11.6273,,13.7731,5.1023,1.8789,12.6643,14.2492,,,,,,,,,,,,,,,4,1 0 1 0 0 0 0 0 0 0 0 0 0 0,-1.1508,-2.2631,,28.1944,,38.6698,20.7165,-1.3158,22.5917,-1.667,7.1439,8.3584,,3.9467,15.1004,8.3066,-21.4293,-1.1508,,,,,,,,,QC'd by NIEHS/NTP
1313,17389404,6893,CC1=C(C(=CC=C1)N)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08548282-01/21169413,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 1 0 0 0,-7.5214,-21.1304,,21.6933,,47.3948,35.1463,-15.7588,-18.1106,-23.1927,-17.5457,6.0992,,-14.3413,23.474,-7.5633,2.9329,-7.5214,,,,,,,,,,,,,,,4,,2.8223,1.1826,,-4.1959,,-4.7654,-9.1698,12.0689,5.6478,-0.5211,-6.6569,-11.8739,,2.3791,-3.1497,7.6027,2.6815,2.8223,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 1 0 0 0,-1.7599,-7.5152,,15.6294,,30.4034,28.3751,-10.7124,-7.2652,-8.5437,-1.2608,16.1672,,-5.8841,18.9241,-4.8074,1.3054,-1.7599,,,,,,,,,QC'd by NIEHS/NTP
1314,17389405,11761,CC1=C(C(=CC=C1)[N+](=O)[O-])[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07980972-01/21169427,,Inactive,,,,,,,,,,4,,32.9927,-33.2087,,55.6538,,76.462,14.2642,-26.0359,-1.0501,-4.7367,-19.0272,22.5065,,13.7623,-19.9662,8.8781,15.3387,32.9927,,,,,,,,,,,,,,,4,,8.7273,9.5762,,-9.6,,5.487,-4.6957,5.0791,-5.5785,2.2014,-11.2542,-2.2718,,9.5556,1.9021,9.8394,5.4337,8.7273,,,,,,,,,,,,,,,4,,11.7883,-24.05,,33.128,,34.5395,10.4575,-18.5321,3.2922,-5.183,-3.8596,14.9126,,0.3063,-13.7149,-2.4555,1.6569,11.7883,,,,,,,,,QC'd by NIEHS/NTP
1315,17389406,6589,CC(C)C(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08548289-01/21169431,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 1 1 0 0 1,20.18,-8.2615,,22.271,,44.9329,49.7253,-4.2285,-41.6597,5.7983,-10.3808,-21.5816,,39.6738,-39.0815,-2.8823,18.6035,20.18,,,,,,,,,,,,,,,4,,-4.5178,-7.7256,,-14.6996,,-27.0565,-10.3373,-14.6564,-25.6421,-25.4478,-7.9877,-20.8041,,-14.8663,-15.5947,-8.5098,-9.2659,-4.5178,,,,,,,,,,,,,,,4,0 0 0 0 0 0 1 0 0 1 0 0 0 1,11.9139,-1.0169,,16.7783,,41.8873,30.2348,5.705,-8.1533,19.8489,-2.3733,-0.5332,,31.6046,-14.5747,1.7375,11.5115,11.9139,,,,,,,,,QC'd by NIEHS/NTP
1316,17389407,10687,CC1=C(C(=CC=C1)O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07930219-01/21169812,,Inactive,,,,,,,,,,4,,11.1241,29.5127,,64.1474,,-17.2676,26.3617,15.374,23.8644,11.02,41.5489,20.0913,,17.7401,27.8987,4.3531,14.5714,11.1241,,,,,,,,,,,,,,,4,,4.7572,0.7454,,1.9572,,4.207,6.9601,-5.2284,10.4584,4.4838,5.2996,1.9558,,7.2016,-2.2778,6.9178,14.9077,4.7572,,,,,,,,,,,,,,,4,0 0 1 0 0 0 0 0 0 0 1 0 0 0,0.2991,16.1569,,28.4868,,-15.6314,7.4115,10.4999,4.5567,0.0434,18.7729,7.9124,,1.8669,15.9809,-6.1704,-6.8518,0.2991,,,,,,,,,QC'd by NIEHS/NTP
1317,17389408,20039,C1C[C@@H](O[C@@H]1CO)N2C=NC3=C(N=CN=C32)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB02911402-01/21169780,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 1 0 0 0 0 0 0 0,-27.834,1.7754,,-3.7091,,51.4648,33.1492,17.7826,52.2039,-19.411,8.5929,-12.4264,,4.5324,-9.9765,-16.9036,-14.5302,-27.834,,,,,,,,,,,,,,,4,,-10.9959,0.0673,,-1.7959,,0.8108,0.6128,-8.4347,0.2838,13.148,-1.5722,6.593,,0.643,-2.1008,3.5881,-3.7701,-10.9959,,,,,,,,,,,,,,,4,1 0 0 0 0 0 1 0 0 0 0 0 0 0,-10.7166,-0.6027,,-3.3059,,22.0511,14.1347,13.788,25.2444,-19.4242,4.0807,-12.3915,,-0.3911,-6.1917,-13.7741,-9.986,-10.7166,,,,,,,,,QC'd by NIEHS/NTP
1318,17389409,16659,C1=CC=C2C(=C1)N=C(C(=N2)Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07990183-01/21169787,,Inactive,,,,,,,,,,4,,-7.0384,-6.1637,,89.669,,57.7853,37.9872,14.0551,-15.1919,-6.924,20.8669,5.51,,-35.2897,32.9363,12.9081,28.3366,-7.0384,,,,,,,,,,,,,,,4,1 0 0 0 0 0 1 0 0 0 0 0 0 0,-2.1502,-9.2364,,-14.1866,,-17.4148,-22.859,-12.3909,-3.9935,7.3933,-12.3628,-10.8179,,7.2134,-7.2971,-14.8669,7.303,-2.1502,,,,,,,,,,,,,,,4,,-5.7293,-0.5536,,45.8245,,36.3016,31.1846,11.7954,-6.9115,-10.3007,15.8475,6.3284,,-25.1327,18.46,12.7971,4.2543,-5.7293,,,,,,,,,QC'd by NIEHS/NTP
1319,17389410,11334,C1=CC(=C(C(=C1)Cl)Cl)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07974533-01/21169729,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 1 0,11.9619,8.943,,57.224,,35.4828,43.483,-17.3233,-18.1661,-25.4791,-18.4186,-0.7343,,-12.0165,14.2946,-15.2757,22.5943,11.9619,,,,,,,,,,,,,,,4,,9.4067,-2.2703,,-12.0115,,-14.1662,11.1827,0.3079,-4.2429,-5.4475,1.6224,-11.2129,,-8.3976,-6.0059,-3.3312,-0.7699,9.4067,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 1 0 0 0,-1.5304,5.3588,,33.463,,27.6473,12.2687,-11.4137,-8.1594,-13.0957,-12.923,6.7706,,-3.3082,11.1491,-8.5745,8.5198,-1.5304,,,,,,,,,QC'd by NIEHS/NTP
1320,17389411,18555,C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08582959-01/21169686,,Inactive,,,,,,,,,,4,1 0 0 1 0 0 0 0 0 0 0 0 0 0,-40.7654,1.0198,,28.5157,,37.6357,78.5958,42.6714,1.7027,-0.3843,-1.3057,-9.4709,,-13.2559,1.5472,-17.3831,-5.3356,-40.7654,,,,,,,,,,,,,,,4,,-20.7782,-7.5237,,-18.8872,,-27.598,-24.4409,-16.939,-15.2121,-19.0973,-24.2296,-16.0078,,-20.2289,-19.4495,-27.3077,-27.3862,-20.7782,,,,,,,,,,,,,,,4,1 0 0 1 0 0 0 0 0 0 0 0 0 0,-10.5452,5.559,,23.4989,,33.8524,52.923,31.3669,10.837,9.7933,12.4109,3.4926,,2.8608,10.9734,4.2406,9.7386,-10.5452,,,,,,,,,QC'd by NIEHS/NTP
1321,17389412,5765,C1=CC(=C(C(=C1)Cl)Cl)C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07980837-01/21169479,,Inactive,,,,,,,,,,4,,42.7589,15.7166,,61.8734,,44.3503,21.912,-2.2853,47.979,4.341,30.3796,19.7961,,1.6593,4.0502,22.7756,39.7482,42.7589,,,,,,,,,,,,,,,4,,-1.474,-3.2922,,-6.4922,,-12.9576,-13.7994,0.6647,-11.3382,-15.5224,10.6061,-9.2155,,-13.0144,1.9526,-1.4674,-4.3674,-1.474,,,,,,,,,,,,,,,4,,29.8037,16.2214,,37.9029,,37.3515,26.2915,3.4003,40.0566,18.0406,14.6711,23.2756,,14.3263,5.7924,18.6389,27.0726,29.8037,,,,,,,,,QC'd by NIEHS/NTP
